Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,118(2),118(2),118(2),-,-,51(1),66(1),66(1),-,-,55(1),55(1),239(1)
,AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,364(2),364(2),364(2),-,-,226(3),247(3),247(3),-,-,241(2),241(2),241(2)
,AIQ,OBC,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,166(2),166(2),166(2),-,-,234(1),234(1),333(1),-,-,249(2),249(2),249(2)
,AIQ,GEN,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,312(6),458(6),458(6),-,-,275(6),378(6),378(6),-,-,170(5),252(5),252(5)
,AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,140(1),503(1),723(3),4240(1),-,724(3),1115(3),1115(3),1192(1),6631(1),255(1),255(1),255(1)
,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,14(1),14(1),14(1),-,-,-,-,-,-,-,364(3),394(3),256(3)
,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,346(2),346(2),346(2),-,-,225(1),225(1),225(1),-,-,266(1),266(1),266(1)
,IP,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,300(4),300(4),300(4),-,-,180(5),180(5),180(5),-,-,273(5),273(5),273(5)
,AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,634(1),634(1),634(1),-,-,113(2),113(2),113(2),-,-,275(1),275(1),275(1)
,AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,175(1),175(1),175(1),-,-,264(2),456(2),456(2),-,-,89(1),89(1),276(1)
