Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,301(1),509(1),509(1),-,-,194(1),194(1),194(1),-,-,239(1),239(1),408(1)
,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,409(2),409(2),409(2),-,-,280(2),413(2),413(2),-,-,409(2),409(2),409(2)
,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,225(2),421(2),421(2),-,-,146(1),295(1),249(1),-,-,274(2),410(2),410(2)
,AIQ,ST,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,3300(1),3300(1),3300(1),-,-,-,-,-,-,-,411(1),411(1),411(1)
,AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,292(2),482(2),243(2),-,-,143(1),143(1),143(1),-,-,410(1),414(1),414(1)
,AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,753(1),1070(1),592(1),2099(1),-,422(1),422(1),422(1)
,AIQ,EWS,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,537(1),804(1),804(1),-,-,357(1),357(1),357(1),-,-,423(1),423(1),423(1)
,DU,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,211(5),211(5),211(5),-,-,103(4),103(4),111(4),-,-,427(5),427(5),427(5)
,DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,"₹1,25,000","₹92,000",0,₹0,737,369(3),440(3),440(3),-,-,300(3),324(3),317(3),-,-,384(3),428(3),428(3)
,AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,"₹48,226*","₹1,12,054*",0,₹0,2424,682(1),682(1),682(1),-,-,976(1),976(1),976(1),-,-,432(1),432(1),432(1)
