Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,583(1),583(1),583(1),-,-,1398(1),1398(1),1398(1),-,-,721(1),721(1),994(1)
,AIQ,GEN,Kerala,"Govt of Med Sci, Pariyaram",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,823(1),1590(1),1590(1),-,-,784(1),1464(1),1788(1),-,-,740(1),839(1),996(1)
,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,515(7),831(7),983(7),-,-,522(6),537(6),861(6),-,-,538(7),997(7),997(7)
,AIQ,OBC,Kerala,"Govt of Med Sci, Pariyaram",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,1237(1),1734(1),2651(1),-,-,-,-,-,-,-,1003(1),1003(1),1003(1)
,AIQ,EWS,Uttar Pradesh,"JNMC (AMU), Aligarh",GENERAL MEDICINE,"₹54,700*","₹1,14,975*",0,₹0,1269,509(1),1394(1),1757(1),-,-,972(1),1154(1),1976(1),-,-,1012(1),1012(1),1012(1)
,AIQ,GEN,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIO DIAGNOSIS,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,1196(2),1640(2),1418(2),-,-,931(2),1093(2),1317(2),-,-,1013(3),1013(3),1013(3)
,AIQ,GEN,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518,285(1),285(1),285(1),-,-,369(2),369(2),369(2),-,-,606(2),1014(2),1014(2)
,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,255(2),502(4),554(4),-,-,476(6),727(6),1166(6),-,-,488(6),995(6),1015(6)
,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518,360(1),360(1),360(1),-,-,511(1),636(1),540(1),-,-,635(1),1018(1),1018(1)
,AIQ,GEN,Delhi,"MAMC, Delhi",OPHTHALMOLOGY,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,806(3),1123(3),1123(3),-,-,1789(4),2331(4),2832(4),3338(1),-,920(3),920(3),1023(3)
,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",DERMATOLOGY,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,-,-,-,-,-,789(2),1038(2),1755(2),-,-,549(1),549(1),1028(1)
