Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,177(1),177(1),177(1),-,-,696(2),924(2),924(2),-,-,20(1),20(1),20(1)
,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-,15(7),15(7),30(7)
,AIQ,GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,09,926*",0,₹0,967,206(2),206(2),206(2),-,-,119(2),119(2),119(2),-,-,39(1),39(1),39(1)
,AIQ,EWS,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,27(1),137(1),137(1),-,-,139(1),139(1),139(1),-,-,41(1),41(1),41(1)
,AIQ,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,13(4),13(4),13(4),-,-,25(5),25(5),25(5),-,-,25(5),46(5),46(5)
,AIQ,OBC,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,116(3),116(3),116(3),-,-,48(2),48(2),48(2),-,-,49(2),49(2),49(2)
,AIQ,GEN,Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1177,517(3),854(3),852(3),2265(1),-,471(4),530(4),639(4),-,-,568(1),63(1),63(1)
,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,67(4),75(4),75(4),-,-,46(2),46(2),46(2),-,-,73(3),73(3),73(3)
,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,44(4),44(4),44(4),-,-,39(3),64(3),64(3),-,-,62(5),75(5),75(5)
,AIQ,GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,158(2),158(2),158(2),-,-,172(3),172(3),172(3),-,-,16(1),76(1),76(1)
,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,350(3),564(3),564(3),-,-,19(1),19(1),19(1),-,-,79(2),79(2),79(2)
,AIQ,EWS,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,137(1),145(1),145(1),-,-,218(2),218(2),218(2),-,-,86(1),86(1),86(1)
,AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,450(1),450(1),450(1),-,-,367(2),367(2),367(2),-,-,87(1),87(1),87(1)
,AIQ,OBC,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,242(3),336(3),336(3),-,-,153(2),153(2),153(2),-,-,94(3),94(3),94(3)
,AIQ,GEN,Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300,338(2),467(2),482(2),1685(1),-,273(1),259(1),447(1),-,-,484(1),584(1),95(1)
,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,35(2),35(2),35(2),-,-,34(2),34(2),34(2),-,-,58(2),96(2),96(2)
,AIQ,GEN,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,105(2),105(2),105(2),-,-,117(3),117(3),117(3),-,-,98(2),98(2),98(2)
