Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,212,Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,AIQ,GEN,"₹1,22,522*","₹80,000*",1*,"₹50,00,000*",1160
,1,213,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,214,Delhi,"VMMC, Delhi",ORTHOPAEDICS,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,215,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,216,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,217,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,218,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,219,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,OBC,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,220,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,AIQ,GEN,"₹11,000*","₹80,000",0*,₹0*,1200
,1,221,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,222,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,223,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,225,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,226,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"₹1,25,000","₹92,000",0,₹0,737
,1,227,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661
,1,228,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,229,Karnataka,"Mysore Med Coll, Mysore",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050
,1,230,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,231,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,AIQ,OBC,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,1,232,Gujarat,"Govt Med Coll, Surat",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150
,1,233,Rajasthan,"RNT, Udaipur",DERMATOLOGY,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206
,1,234,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,AIQ,GEN,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614
,1,235,West Bengal,"IPGMER, Kolkata",DERMATOLOGY,AIQ,GEN,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300
,1,236,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500
,1,237,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,238,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,239,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,EWS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,241,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,OBC,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,242,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,243,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,OBC,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250
,1,244,Rajasthan,"SMS, Jaipur",DERMATOLOGY,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,245,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1737
,1,246,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614
,1,247,Tamil Nadu,"SankaraNethralaya, Pycrofts,CHN",DNBOPHTHALMOLOGY,DNB Post MBBS,GEN,"₹1,25,000","₹48,000",0,₹0,86
,1,248,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,DU,GEN,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,249,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,OBC,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498
,1,250,Tamil Nadu,"Madurai Med Coll, Madurai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518
,1,251,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,252,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250
,1,253,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,254,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,255,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844
,1,256,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,257,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,258,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹67,032",1,"₹20,00,000",4800
,1,259,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,AIQ,OBC,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
,1,260,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250
,1,261,Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,262,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,263,Madhya Pradesh,"MGM Med Coll, Indore",GENERAL MEDICINE,AIQ,GEN,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1300
