Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,1,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,2,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
,1,3,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,4,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,5,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,6,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,7,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,8,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,9,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,10,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,11,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,12,Tamil Nadu,"Madras Med Coll, Chennai",OBG,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,13,Punjab,"Govt Med Coll, Patiala",GENERAL MEDICINE,AIQ,GEN,"₹1,25,000*","₹76,000*",2*,"₹20,00,000*",1130
,1,14,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,15,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,16,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498
,1,17,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,18,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
,1,19,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
