Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,264,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,AIQ,GEN,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866
,1,265,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,266,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,AIQ,GEN,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080
,1,267,Karnataka,"KIMS, Hubli",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1200
,1,268,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹67,032",1,"₹20,00,000",4800
,1,269,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,270,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,271,West Bengal,"IPGMER, Kolkata",GENERAL SURGERY,AIQ,GEN,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300
,1,272,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,273,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,274,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500
,1,275,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,276,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,EWS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,278,Goa,"Goa Med Coll, Panaji",GENERAL MEDICINE,AIQ,GEN,"₹1,22,522*","₹80,000*",1*,"₹50,00,000*",1160
,1,279,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,OBC,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,1,280,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,AIQ,OBC,"₹1,57,100*","₹93,559",1,"₹50,00,000",1296
,1,281,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250
,1,282,Kerala,"Medical College, Trivandrum",DERMATOLOGY,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,1,283,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877
,1,284,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,AIQ,GEN,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,285,Kerala,"Govt Med Coll, Kozhikode",PAEDIATRICS,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025
