Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,1,158,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000
,1,160,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,GEN,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,161,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,AIQ,GEN,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080
,1,162,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993
,1,163,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,EWS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,1,164,Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,GEN,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000
,1,166,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000
,1,167,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,168,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661
,1,169,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,AIQ,GEN,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094
,1,170,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557
,1,171,Tamil Nadu,"Madras Med Coll, Chennai",OBG,AIQ,GEN,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,1,172,Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,173,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL SURGERY,AIQ,GEN,"₹15,000*","₹67,032",1,"₹20,00,000",1200
,1,174,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,AIQ,GEN,"₹15,000*","₹67,032",1,"₹20,00,000",1200
,1,175,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550
,1,176,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,AIQ,GEN,"₹48,226*","₹1,12,054*",0,₹0,2424
,1,177,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702
