State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Madhya Pradesh,"MGM Med Coll, Indore",ANAESTHESIOLOGY,AIQ,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1300
,Jharkhand,"MGM Med Coll, Jamshedpur",ANAESTHESIOLOGY,AIQ,"₹1,550","₹54,500",3*,"₹30,00,000*",540
,Tamil Nadu,"Madras Med Coll, Chennai",ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285
,Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518
,Uttar Pradesh,"MLB Med Coll, Jhansi",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",700
,Maharashtra,"MPGIMER, Nashik",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",560
,Maharashtra,"MGIMS, Wardha",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1000
,Karnataka,"Mandya IMS, Mandya",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",910
,Delhi,"MAMC, Delhi",ANAESTHESIOLOGY,AIQ,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800
,West Bengal,"Govt. Med College, Kolkata",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",2668
,Kerala,"Medical College, Trivandrum",ANAESTHESIOLOGY,AIQ,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126
,West Bengal,Midnapore Medical College,ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1051
,Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,AIQ,"₹35,000*","₹73,042",2*,"₹55,09,464*",1140
,Tamil Nadu,"Govt. Mohan Kumaramangalam, Salem",ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1642
,Uttar Pradesh,"MLN Med Coll, Allahabad",ANAESTHESIOLOGY,AIQ,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available
,West Bengal,Murshidabad Med Coll,ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1208
,Karnataka,"Mysore Med Coll, Mysore",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050
,Bihar,"Nalanda Med Coll, Patna",ANAESTHESIOLOGY,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",750
,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",ANAESTHESIOLOGY,AIQ,"₹12,00,000*","₹43,000",3,"₹50,00,000",650
,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",ANAESTHESIOLOGY,AIQ,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1150
,West Bengal,"Nilratan Sircar, Kolkata",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",1920
,West Bengal,"NBMC, Darjeeling",ANAESTHESIOLOGY,AIQ,"₹12,000*","₹61,634",3*,"₹30,00,000*",843
,Telangana,"Osmania Med Coll, Hyderabad",ANAESTHESIOLOGY,AIQ,"₹15,000*","₹67,032",1,"₹20,00,000",4800
,Bihar,"Patna Med Coll, Patna",ANAESTHESIOLOGY,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748
,Delhi,"ABVIMS (Dr RML Hosp), Delhi",ANAESTHESIOLOGY,AIQ,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,Maharashtra,"Pimpri Chinchwad, Pimpri",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",750
,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ANAESTHESIOLOGY,AIQ,"₹35,000*","₹73,042",2*,"₹55,09,464*",760
,Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,AIQ,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080
,Chhattisgarh,"Pt JNM Med Coll, Raipur",ANAESTHESIOLOGY,AIQ,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246
,Rajasthan,"RNT, Udaipur",ANAESTHESIOLOGY,AIQ,"₹14,093*","₹87,216*",2,"₹50,00,000",2206
,Karnataka,"Raichur IMS, Raichur",ANAESTHESIOLOGY,AIQ,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",500
,Tamil Nadu,"Rajah Muthiah, Annamalainagar",ANAESTHESIOLOGY,AIQ,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1400
,Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",ANAESTHESIOLOGY,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",665
,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,AIQ,"₹1,550","₹1,00,770*",3*,"₹30,00,000*",1754
,Telangana,"Rajiv Gandhi IMS, Adilabad",ANAESTHESIOLOGY,AIQ,"₹15,000*","₹67,032",1,"₹20,00,000",Info Not Available
,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,715
,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",ANAESTHESIOLOGY,AIQ,"₹30,000*","₹60,823",0*,₹0*,532
