State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Gujarat,"Govt Med Coll, Surat",DA,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",1150
,Gujarat,"MP Shah, Jamnagar",DA,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",1250
,Gujarat,"PDU Med Coll, Rajkot",DA,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",750
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",DA,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",1050
,West Bengal,Calcutta National Med Coll,DA,AIQ,"₹12,000*","₹61,634",2*,"₹20,00,000*",1470
,Bihar,"Darbhanga, Lehriasarai",DA,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",1030
,Assam,"Gauhati Med Coll, Guwahati",DA,AIQ,"₹27,300*","₹55,200*",2*,"₹15,00,000*",2185
,Punjab,"Govt Med Coll, Amritsar",DA,AIQ,"₹1,25,000*","₹76,000*",2*,"₹20,00,000*",951
,Punjab,"Govt Med Coll, Patiala",DA,AIQ,"₹1,25,000*","₹76,000*",2*,"₹20,00,000*",1130
,Uttar Pradesh,"GSVM Med Coll, Kanpur",DA,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",2083
,Delhi,"Hindu Rao, Delhi",DA,AIQ,"₹16,200*","₹1,32,336*",1,"₹20,00,000",832
,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DA,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,Uttar Pradesh,"MLB Med Coll, Jhansi",DA,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",700
,West Bengal,"Govt. Med College, Kolkata",DA,AIQ,"₹12,000*","₹61,634",2*,"₹20,00,000*",2668
,Tamil Nadu,"Rajah Muthiah, Annamalainagar",DA,AIQ,"₹20,000*","₹50,647*",2*,"₹20,00,000*",1400
,West Bengal,"RG Kar Med Coll, Kolkata",DA,AIQ,"₹12,000*","₹61,634",2*,"₹20,00,000*",1663
,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",DA,AIQ,"₹11,000*","₹80,000",0*,₹0*,1200
