State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
,Tamil Nadu,"Rajah Muthiah, Annamalainagar",DLO,AIQ,"₹20,000*","₹50,647*",2*,"₹20,00,000*",1400
,Uttar Pradesh,"SN Med Coll, Agra",DLO,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",976
,Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AIQ,"₹25,000*","₹60,823",0*,₹0*,940
,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DLO,AIQ,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DLO,IP,"₹51,000","₹1,36,008",1,"₹20,00,000",1626
,Bihar,"Patna Med Coll, Patna",DPMR,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748
,Gujarat,"Govt Med Coll, Bhavnagar",DPM (Psychiatry),AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",720
,Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AIQ,"₹25,000*","₹60,823",0*,₹0*,1170
,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DPM (Psychiatry),AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,Karnataka,"JSS Med Coll, Mysore",DPM (Psychiatry),MNG,"₹14,00,000*","₹45,000",0,₹0,2060
,Telangana,"Kakatiya Med Coll, Warangal",DPH,AIQ,"₹15,000*","₹67,032",1,"₹10,00,000",1150
,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DPH,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,Telangana,"Osmania Med Coll, Hyderabad",DPH,AIQ,"₹15,000*","₹67,032",1,"₹10,00,000",4800
,Uttar Pradesh,"Santosh Med Coll, Ghaziabad",DPH,MNG,"₹2,00,000*","₹56,010",0,₹0,800
,Delhi,"INMAS (Nuclear Med), Delhi",DRM,AIQ,"₹16,200*","₹1,26,927*",1,"₹20,00,000",Info Not Available
,Delhi,"INMAS (Nuclear Med), Delhi",DRM,DU,"₹16,200*","₹1,26,927*",1,"₹20,00,000",Info Not Available
,Karnataka,"Kidwai Memorial, Bangalore",DMRT,AIQ,"₹1,23,400*","₹56,250",1*,"₹25,00,000*",680
,Gujarat,"MP Shah, Jamnagar",DMRD,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",1250
,Telangana,"Kakatiya Med Coll, Warangal",DMRD,AIQ,"₹15,000*","₹67,032",1,"₹10,00,000",1150
,Uttar Pradesh,"LLRM Med Coll, Meerut",DMRD,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",1090
,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DMRD,AIQ,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462
,Jharkhand,"MGM Med Coll, Jamshedpur",DMRD,AIQ,"₹1,550","₹54,500",3*,"₹30,00,000*",540
,Uttar Pradesh,"MLB Med Coll, Jhansi",DMRD,AIQ,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",700
,Bihar,"Patna Med Coll, Patna",DMRD,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748
,Punjab,"NSNIS, Patiala",DSM,AIQ,"₹40,000*","₹76,000*",0,₹0,Info Not Available
,Gujarat,"MP Shah, Jamnagar",DTBCD,AIQ,"₹20,000*","₹75,600",1*,"₹40,00,000*",1250
,Telangana,"Osmania Med Coll, Hyderabad",DTBCD,AIQ,"₹15,000*","₹67,032",1,"₹10,00,000",4800
,Bihar,"Patna Med Coll, Patna",DTBCD,AIQ,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748
