Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,1,AIQ,SC,Assam,"Gauhati Med Coll, Guwahati",RADIO DIAGNOSIS,1,"₹27,300*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,-,-,-,-,-,902(1),902(1),902(1)
,1,AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL SURGERY,1,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,1987(2),1987(2),1987(2),-,-,683(1),683(1),683(1),-,-,906(1),906(1),906(1)
,1,AIQ,GEN,Karnataka,"Mandya IMS, Mandya",RADIO DIAGNOSIS,1,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",910,839(2),896(2),896(2),-,-,443(1),593(1),593(1),-,-,546(1),911(1),911(1)
,2,AIQ,GEN,Karnataka,"Mandya IMS, Mandya",RADIO DIAGNOSIS,1,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",910,839(2),896(2),896(2),-,-,443(1),593(1),593(1),-,-,546(1),911(1),911(1)
,3,AIQ,GEN,Karnataka,"Mandya IMS, Mandya",RADIO DIAGNOSIS,0+1(VV),"₹1,23,400*","₹56,250",1*,"₹50,00,000*",910,839(2),896(2),896(2),-,-,443(1),593(1),593(1),-,-,546(1),911(1),911(1)
,1,AIQ,GEN,Karnataka,"KIMS, Hubli",GENERAL MEDICINE,3,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1200,1184(5),1468(5),1521(5),-,-,690(5),1052(5),1351(5),-,-,327(3),723(3),912(3)
,2,AIQ,GEN,Karnataka,"KIMS, Hubli",GENERAL MEDICINE,1+2(VV),"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1200,1184(5),1468(5),1521(5),-,-,690(5),1052(5),1351(5),-,-,327(3),723(3),912(3)
,3,AIQ,GEN,Karnataka,"KIMS, Hubli",GENERAL MEDICINE,1+2(VV),"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1200,1184(5),1468(5),1521(5),-,-,690(5),1052(5),1351(5),-,-,327(3),723(3),912(3)
,1,AIQ,GEN,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,3,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1737,1449(4),1907(4),2052(4),-,-,1197(3),1846(3),1846(3),-,-,947(3),913(3),913(3)
,2,AIQ,GEN,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,1,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1737,1449(4),1907(4),2052(4),-,-,1197(3),1846(3),1846(3),-,-,947(3),913(3),913(3)
