Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,1,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,3,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,1190(4),1190(4),1283(4),-,-,736(3),978(3),1299(3),-,-,356(3),356(3),356(3)
,2,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,0+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,1190(4),1190(4),1283(4),-,-,736(3),978(3),1299(3),-,-,356(3),356(3),356(3)
,3,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,0+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,1190(4),1190(4),1283(4),-,-,736(3),978(3),1299(3),-,-,356(3),356(3),356(3)
,1,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,1,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,245(2),245(2),245(2),-,-,359(1),359(1),359(1)
,2,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,245(2),245(2),245(2),-,-,359(1),359(1),359(1)
,3,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,245(2),245(2),245(2),-,-,359(1),359(1),359(1)
,1,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,3,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,238(4),343(4),467(4),-,-,268(4),319(4),504(4),-,-,357(3),360(3),360(3)
,2,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,1+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,238(4),343(4),467(4),-,-,268(4),319(4),504(4),-,-,357(3),360(3),360(3)
,3,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,238(4),343(4),467(4),-,-,268(4),319(4),504(4),-,-,357(3),360(3),360(3)
,2,AIQ,OBC,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,1,"₹16,200*","₹1,26,927*",1,"₹20,00,000",714,-,-,-,-,-,244(1),292(1),292(1),-,-,-,361(1),361(1)
,3,AIQ,OBC,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",714,-,-,-,-,-,244(1),292(1),292(1),-,-,-,361(1),361(1)
,1,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,5,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,204(5),204(5),204(5),-,-,266(5),266(5),266(5),-,-,265(5),370(5),370(5)
,2,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,0+3(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,204(5),204(5),204(5),-,-,266(5),266(5),266(5),-,-,265(5),370(5),370(5)
,3,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,0+3(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,204(5),204(5),204(5),-,-,266(5),266(5),266(5),-,-,265(5),370(5),370(5)
,1,AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,1,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,-,-,-,-,-,858(1),1064(1),1065(1),-,-,372(1),372(1),372(1)
,2,AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,0+1(VV),"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,-,-,-,-,-,858(1),1064(1),1065(1),-,-,372(1),372(1),372(1)
,3,AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,0+1(VV),"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,-,-,-,-,-,858(1),1064(1),1065(1),-,-,372(1),372(1),372(1)
,1,AIQ,GEN,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,3,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300,231(3),361(3),361(3),-,-,290(3),362(3),362(3),-,-,294(3),348(3),373(3)
,2,AIQ,GEN,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,2+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1300,231(3),361(3),361(3),-,-,290(3),362(3),362(3),-,-,294(3),348(3),373(3)
