Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,1,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,2,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,1430(3),1430(3),1430(3),-,-,880(2),880(2),880(2),-,-,728(2),728(2),728(2)
,2,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,0+2(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,1430(3),1430(3),1430(3),-,-,880(2),880(2),880(2),-,-,728(2),728(2),728(2)
,3,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,0+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,1430(3),1430(3),1430(3),-,-,880(2),880(2),880(2),-,-,728(2),728(2),728(2)
,1,AIQ,EWS,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,1,"₹34,500*","₹1,09,926*",0,₹0,967,757(1),1214(1),1214(1),-,-,519(1),519(1),1102(1),-,-,737(1),737(1),737(1)
,2,AIQ,EWS,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,757(1),1214(1),1214(1),-,-,519(1),519(1),1102(1),-,-,737(1),737(1),737(1)
,3,AIQ,EWS,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,757(1),1214(1),1214(1),-,-,519(1),519(1),1102(1),-,-,737(1),737(1),737(1)
,1,AIQ,GEN,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,2,"₹12,000*","₹61,634",3*,"₹30,00,000*",1920,893(2),1215(2),1215(2),-,-,399(2),508(2),508(2),-,-,654(2),707(2),738(2)
,2,AIQ,GEN,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,1+1(VV),"₹12,000*","₹61,634",3*,"₹30,00,000*",1920,893(2),1215(2),1215(2),-,-,399(2),508(2),508(2),-,-,654(2),707(2),738(2)
,3,AIQ,GEN,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,1+1(VV),"₹12,000*","₹61,634",3*,"₹30,00,000*",1920,893(2),1215(2),1215(2),-,-,399(2),508(2),508(2),-,-,654(2),707(2),738(2)
,1,AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,1,"₹15,000*","₹67,032",1,"₹20,00,000",4800,-,-,-,-,-,1010(1),1010(1),1010(1),-,-,741(1),741(1),741(1)
