State,Institute,Course,From,To,Increase,Remark,
,Maharashtra,"Govt Med Coll, Chandrapur",GENERAL MEDICINE,2,6,4,Increase in Seats in 2025 session
,Maharashtra,"Govt Med Coll, Miraj",GENERAL MEDICINE,7,11,4,Increase in Seats in 2025 session
,Maharashtra,"Rajiv Gandhi MC & CSMH, Thane",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Maharashtra,"Shri VR Naik Govt, Yavatmal",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Maharashtra,"Sri Bhausaheb, Dhule",GENERAL MEDICINE,4,8,4,Increase in Seats in 2025 session
,Mizoram,"Zoram Med Coll, Mizoram",GENERAL MEDICINE,-,2,2,New seats added in 2025 Session
,Odisha,"Pt Raghunath Med Coll,Baripada",GENERAL MEDICINE,-,3,3,New seats added in 2025 Session
,Pondicherry,"IGMC & RI, Pondicherry",GENERAL MEDICINE,4,6,2,Increase in Seats in 2025 session
,Punjab,"Govt Med Coll, Patiala",GENERAL MEDICINE,12,16,4,Increase in Seats in 2025 session
,Punjab,"Guru Govind Singh, Faridkot",GENERAL MEDICINE,10,14,4,Increase in Seats in 2025 session
,Rajasthan,"SNMC, Jodhpur",GENERAL MEDICINE,20,24,4,Increase in Seats in 2025 session
,Rajasthan,"RUHS, Jaipur",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"Govt Med Coll, Firozobad",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"MRA Med Coll, Ambedkarnagar",GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"SN Med Coll, Agra",GENERAL MEDICINE,25,29,4,Increase in Seats in 2025 session
,Uttarakhand,"Soban Singh Govt Inst, Almora",GENERAL MEDICINE,-,2,2,New seats added in 2025 Session
,West Bengal,Malda Med Coll,GENERAL MEDICINE,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Govt Med Coll, Ananthapuram",HOSPITAL ADMINISTRATION,-,3,3,New seats added in 2025 Session
,Telangana,"Osmania Med Coll, Hyderabad",HOSPITAL ADMINISTRATION,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"SGPGI, Lucknow",HOSPITAL ADMINISTRATION,-,2,2,New seats added in 2025 Session
,Gujarat,"BJMC, Ahmedabad",IHBT,5,7,2,Increase in Seats in 2025 session
,Gujarat,"Medical College, Baroda",IHBT,2,3,1,Increase in Seats in 2025 session
,Gujarat,"GR Doshi & KM Mehta, Ahmedabad",IHBT,-,2,2,New seats added in 2025 Session
,Jammu and Kashmir,"Govt Med Coll, Jammu",IHBT,3,4,1,Increase in Seats in 2025 session
,Kerala,"TD Med Coll, Allepey",IHBT,1,2,1,Increase in Seats in 2025 session
,Madhya Pradesh,Bhopal Memorial Hosp & RC,IHBT,-,2,2,New seats added in 2025 Session
,Rajasthan,"SP Med Coll, Bikaner",IHBT,4,5,1,Increase in Seats in 2025 session
,Telangana,"NIMS, Hyderabad",IHBT,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"PG Inst of Child Health, Noida",IHBT,-,3,3,New seats added in 2025 Session
,Uttar Pradesh,"SGPGI, Lucknow",IHBT,3,7,4,Increase in Seats in 2025 session
,Andaman and Nicobar Islands,"Andaman & NicobarIMS,PortBlair",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
,Arunachal Pradesh,"Tomo Riba IHMS, Naharlagun",MICROBIOLOGY,-,2,2,New seats added in 2025 Session
,Bihar,"Vardhman IMS, Nalanda",MICROBIOLOGY,-,4,4,New seats added in 2025 Session
,Chhattisgarh,"Govt Med Coll, Rajnandgaon",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
,Chhattisgarh,"CIMS, Bilaspur",MICROBIOLOGY,3,5,2,Increase in Seats in 2025 session
,Delhi,"GB Pant IPGMER, Delhi",MICROBIOLOGY,2,4,2,Increase in Seats in 2025 session
,Gujarat,"BJMC, Ahmedabad",MICROBIOLOGY,21,25,4,Increase in Seats in 2025 session
,Gujarat,"GMERS Medical College, Mehsana",MICROBIOLOGY,-,4,4,New seats added in 2025 Session
,Gujarat,"MP Shah, Jamnagar",MICROBIOLOGY,6,7,1,Increase in Seats in 2025 session
,Haryana,"Pt BD Sharma, Rohtak",MICROBIOLOGY,4,8,4,Increase in Seats in 2025 session
,Jammu and Kashmir,"Govt Med Coll, Jammu",MICROBIOLOGY,3,7,4,Increase in Seats in 2025 session
,Karnataka,"Bangalore Med Coll, Bangalore",MICROBIOLOGY,5,9,4,Increase in Seats in 2025 session
,Karnataka,"Belagavi IMS, Belagavi",MICROBIOLOGY,1,5,4,Increase in Seats in 2025 session
,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",MICROBIOLOGY,3,7,4,Increase in Seats in 2025 session
,Madhya Pradesh,"Govt Med Coll, Chhindwara",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
,Maharashtra,"HBT & RN Cooper, Mumbai",MICROBIOLOGY,-,4,4,New seats added in 2025 Session
,Maharashtra,"Tata Memorial, Mumbai",MICROBIOLOGY,1,4,3,Increase in Seats in 2025 session
,Maharashtra,"Topiwala, Mumbai",MICROBIOLOGY,4,8,4,Increase in Seats in 2025 session
,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
,Odisha,"Pt Raghunath Med Coll,Baripada",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
