State,Institute,Course,From,To,Increase,Remark,
,Andaman and Nicobar Islands,"Andaman & NicobarIMS,PortBlair",ANAESTHESIOLOGY,-,3,3,New seats added in 2025 Session
,Andhra Pradesh,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,6,10,4,Increase in Seats in 2025 session
,Andhra Pradesh,"Government Med Coll, Nandyal",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",ANAESTHESIOLOGY,4,8,4,Increase in Seats in 2025 session
,Arunachal Pradesh,"Tomo Riba IHMS, Naharlagun",ANAESTHESIOLOGY,-,2,2,New seats added in 2025 Session
,Assam,"Dr B Borooah, Guwahati",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,17,21,4,Increase in Seats in 2025 session
,Bihar,"Nalanda Med Coll, Patna",ANAESTHESIOLOGY,6,10,4,Increase in Seats in 2025 session
,Chhattisgarh,"CIMS, Bilaspur",ANAESTHESIOLOGY,4,8,4,Increase in Seats in 2025 session
,Chhattisgarh,"Government Med Coll, Korba",ANAESTHESIOLOGY,-,2,2,New seats added in 2025 Session
,Delhi,"IndianRailwayPGInst,New Delhi",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS Med Coll, Dharpur Patan",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS, Gandhinagar",ANAESTHESIOLOGY,11,13,2,Increase in Seats in 2025 session
,Gujarat,"GMERS Medical Coll, Himmatnagar",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS Medical College, Junagadh",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Gujarat,"Medical College, Baroda",ANAESTHESIOLOGY,17,19,2,Increase in Seats in 2025 session
,Gujarat,"MP Shah, Jamnagar",ANAESTHESIOLOGY,13,17,4,Increase in Seats in 2025 session
,Gujarat,"GR Doshi & KM Mehta, Ahmedabad",ANAESTHESIOLOGY,6,9,3,Increase in Seats in 2025 session
,Jammu and Kashmir,"Government Med Coll,Anantnag",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Jammu and Kashmir,"Govt Med Coll, Jammu",ANAESTHESIOLOGY,20,24,4,Increase in Seats in 2025 session
,Jammu and Kashmir,"Government Medical Coll,Kathua",ANAESTHESIOLOGY,-,3,3,New seats added in 2025 Session
,Karnataka,"Belagavi IMS, Belagavi",ANAESTHESIOLOGY,3,7,4,Increase in Seats in 2025 session
,Karnataka,"Bidar IMS, Bidar",ANAESTHESIOLOGY,3,7,4,Increase in Seats in 2025 session
,Karnataka,"Chamrajanagar IMS, Karnataka",ANAESTHESIOLOGY,3,7,4,Increase in Seats in 2025 session
,Karnataka,Chikkaballapura Inst of Med Sci,ANAESTHESIOLOGY,-,2,2,New seats added in 2025 Session
,Karnataka,"Gadag IMS, Gadag",ANAESTHESIOLOGY,3,7,4,Increase in Seats in 2025 session
,Karnataka,"Gulbarga IMS, Gulbarga",ANAESTHESIOLOGY,4,8,4,Increase in Seats in 2025 session
,Karnataka,"Hassan IMS, Hassan",ANAESTHESIOLOGY,3,7,4,Increase in Seats in 2025 session
,Karnataka,Kodagu Inst of Med Sciences,ANAESTHESIOLOGY,6,9,3,Increase in Seats in 2025 session
,Karnataka,"Mysore Med Coll, Mysore",ANAESTHESIOLOGY,16,20,4,Increase in Seats in 2025 session
,Karnataka,"Shri Atal Bihari Vajpayee, BLR",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Karnataka,"VIMS, Bellary",ANAESTHESIOLOGY,14,15,1,Increase in Seats in 2025 session
,Kerala,"Govt Med Coll, Ernakulam",ANAESTHESIOLOGY,-,2,2,New seats added in 2025 Session
,Kerala,"Govt Med Coll, Kollam",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Kerala,"Govt of Med Sci, Pariyaram",ANAESTHESIOLOGY,2,4,2,Increase in Seats in 2025 session
,Kerala,"TD Med Coll, Allepey",ANAESTHESIOLOGY,4,6,2,Increase in Seats in 2025 session
,Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Madhya Pradesh,"Govt Med Coll, Chhindwara",ANAESTHESIOLOGY,-,3,3,New seats added in 2025 Session
,Madhya Pradesh,"Government Med Coll, Satna",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Madhya Pradesh,"MGM Med Coll, Indore",ANAESTHESIOLOGY,24,28,4,Increase in Seats in 2025 session
,Maharashtra,"Govt Med Coll, Nagpur",ANAESTHESIOLOGY,20,24,4,Increase in Seats in 2025 session
,Maharashtra,"Govt Med Coll, Nandurbar",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Maharashtra,"Pimpri Chinchwad, Pimpri",ANAESTHESIOLOGY,4,8,4,Increase in Seats in 2025 session
,Maharashtra,"Rajiv Gandhi MC & CSMH, Thane",ANAESTHESIOLOGY,-,4,4,New seats added in 2025 Session
,Maharashtra,"Shri VR Naik Govt, Yavatmal",ANAESTHESIOLOGY,4,8,4,Increase in Seats in 2025 session
,Mizoram,"Zoram Med Coll, Mizoram",ANAESTHESIOLOGY,-,2,2,New seats added in 2025 Session
,Odisha,"Govt Med Coll, Balasore",ANAESTHESIOLOGY,-,3,3,New seats added in 2025 Session
,Odisha,"Pt Raghunath Med Coll,Baripada",ANAESTHESIOLOGY,-,3,3,New seats added in 2025 Session
,Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,10,14,4,Increase in Seats in 2025 session
,Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,9,13,4,Increase in Seats in 2025 session
