State,Institute,Course,From,To,Increase,Remark,
,Rajasthan,"ESIC Med Coll, Alwar",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",MICROBIOLOGY,3,6,3,Increase in Seats in 2025 session
,Uttar Pradesh,"PG Inst of Child Health, Noida",MICROBIOLOGY,4,6,2,Increase in Seats in 2025 session
,Uttar Pradesh,"SGPGI, Lucknow",MICROBIOLOGY,2,6,4,Increase in Seats in 2025 session
,Uttarakhand,"Soban Singh Govt Inst, Almora",MICROBIOLOGY,-,3,3,New seats added in 2025 Session
,West Bengal,"Diamond Harbour Govt MC, WB",MICROBIOLOGY,-,2,2,New seats added in 2025 Session
,Kerala,"Govt Med Coll, Kozhikode",NUCLEAR MEDICINE,-,2,2,New seats added in 2025 Session
,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,6,10,4,Increase in Seats in 2025 session
,Andhra Pradesh,"Andhra Med Coll, Vizag",PAEDIATRICS,12,16,4,Increase in Seats in 2025 session
,Andhra Pradesh,"Govt Med Coll, Ananthapuram",PAEDIATRICS,4,8,4,Increase in Seats in 2025 session
,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",PAEDIATRICS,3,7,4,Increase in Seats in 2025 session
,Andhra Pradesh,"Govt Med Coll, Machilipatnam",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Govt Med Coll, Rajamahendravaram",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",PAEDIATRICS,3,7,4,Increase in Seats in 2025 session
,Andhra Pradesh,"SVIMS, Tirupati",PAEDIATRICS,-,2,2,Increase in Seats in 2025 session
,Arunachal Pradesh,"Tomo Riba IHMS, Naharlagun",PAEDIATRICS,-,2,2,New seats added in 2025 Session
,Assam,"Gauhati Med Coll, Guwahati",PAEDIATRICS,9,12,3,Increase in Seats in 2025 session
,Bihar,"IGIMS, Patna",PAEDIATRICS,3,7,4,Increase in Seats in 2025 session
,Bihar,"Nalanda Med Coll, Patna",PAEDIATRICS,8,12,4,Increase in Seats in 2025 session
,Bihar,"Sri Krishna, Muzzafarpur",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Chhattisgarh,"CIMS, Bilaspur",PAEDIATRICS,4,6,2,Increase in Seats in 2025 session
,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",PAEDIATRICS,-,2,2,New seats added in 2025 Session
,Delhi,"Chacha Nehru Bal Chikit, Delhi",PAEDIATRICS,4,8,4,Increase in Seats in 2025 session
,Delhi,"IndianRailwayPGInst,New Delhi",PAEDIATRICS,-,2,2,New seats added in 2025 Session
,Gujarat,"GMERS, Gandhinagar",PAEDIATRICS,2,5,3,Increase in Seats in 2025 session
,Gujarat,"GMERS, Sola",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Gujarat,"Medical College, Baroda",PAEDIATRICS,12,14,2,Increase in Seats in 2025 session
,Gujarat,"PDU Med Coll, Rajkot",PAEDIATRICS,5,6,1,Increase in Seats in 2025 session
,Jammu and Kashmir,"Government Med Coll,Anantnag",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Jammu and Kashmir,"Government Med Coll, Baramulla",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Jammu and Kashmir,"Govt Med Coll, Jammu",PAEDIATRICS,14,18,4,Increase in Seats in 2025 session
,Jammu and Kashmir,"Government Medical Coll,Kathua",PAEDIATRICS,-,2,2,New seats added in 2025 Session
,Jammu and Kashmir,"Government Med Coll,Rajouri",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Karnataka,"Bangalore Med Coll, Bangalore",PAEDIATRICS,18,20,2,Increase in Seats in 2025 session
,Karnataka,"Belagavi IMS, Belagavi",PAEDIATRICS,5,9,4,Increase in Seats in 2025 session
,Karnataka,"Bidar IMS, Bidar",PAEDIATRICS,3,7,4,Increase in Seats in 2025 session
,Karnataka,"Chamrajanagar IMS, Karnataka",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Karnataka,"Gadag IMS, Gadag",PAEDIATRICS,3,7,4,Increase in Seats in 2025 session
,Karnataka,"Gulbarga IMS, Gulbarga",PAEDIATRICS,4,7,3,Increase in Seats in 2025 session
,Karnataka,"Hassan IMS, Hassan",PAEDIATRICS,4,7,3,Increase in Seats in 2025 session
,Karnataka,"Koppal Inst of MS, Koppal",PAEDIATRICS,2,6,4,Increase in Seats in 2025 session
,Karnataka,"Mysore Med Coll, Mysore",PAEDIATRICS,12,16,4,Increase in Seats in 2025 session
,Karnataka,"Raichur IMS, Raichur",PAEDIATRICS,2,6,4,Increase in Seats in 2025 session
,Karnataka,"Shri Atal Bihari Vajpayee, BLR",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Karnataka,"VIMS, Bellary",PAEDIATRICS,10,14,4,Increase in Seats in 2025 session
,Kerala,"Govt Med Coll, Kollam",PAEDIATRICS,-,4,4,New seats added in 2025 Session
,Kerala,"Govt of Med Sci, Pariyaram",PAEDIATRICS,2,4,2,Increase in Seats in 2025 session
,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",PAEDIATRICS,8,10,2,Increase in Seats in 2025 session
,Maharashtra,"Govt Med Coll, Nanded",PAEDIATRICS,3,7,4,Increase in Seats in 2025 session
,Maharashtra,"Govt Med Coll, Chandrapur",PAEDIATRICS,2,5,3,Increase in Seats in 2025 session
