State,Institute,Course,From,To,Increase,Remark,
,Pondicherry,"IGMC & RI, Pondicherry",BIOCHEMISTRY,-,2,2,New seats added in 2025 Session
,Rajasthan,"ESIC Med Coll, Alwar",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,Telangana,"Government Med Coll, Ramagundam",BIOCHEMISTRY,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"Auton. State Med Coll,Fatehpur",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,Uttar Pradesh,"Auton. State Med Coll,Mirzapur",BIOCHEMISTRY,-,2,2,New seats added in 2025 Session
,Uttar Pradesh,"Govt Med Coll, Rampur, Basti",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,Uttar Pradesh,"Auton. StateMed,Siddharthnagar",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",BIOCHEMISTRY,2,6,4,Increase in Seats in 2025 session
,Uttar Pradesh,"Govt Med Coll, Bahraich",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,Uttar Pradesh,"PG Inst of Child Health, Noida",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,Uttarakhand,"Govt Med Coll, Haldwani",BIOCHEMISTRY,-,3,3,New seats added in 2025 Session
,West Bengal,"Diamond Harbour Govt MC, WB",BIOCHEMISTRY,-,4,4,New seats added in 2025 Session
,West Bengal,"ESI, Joka, Kolkata",BIOCHEMISTRY,-,2,2,New seats added in 2025 Session
,West Bengal,Malda Med Coll,BIOCHEMISTRY,-,4,4,New seats added in 2025 Session
,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",DERMATOLOGY,2,5,3,Increase in Seats in 2025 session
,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",DERMATOLOGY,-,4,4,New seats added in 2025 Session
,Gujarat,"GMERS, Gotri, Vadodara",DERMATOLOGY,2,5,3,Increase in Seats in 2025 session
,Gujarat,"Medical College, Baroda",DERMATOLOGY,5,7,2,Increase in Seats in 2025 session
,Himachal Pradesh,"Govt Med Coll, Hamirpur",DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Jammu and Kashmir,"Govt Med Coll, Srinagar",DERMATOLOGY,6,8,2,Increase in Seats in 2025 session
,Karnataka,"Belagavi IMS, Belagavi",DERMATOLOGY,3,5,2,Increase in Seats in 2025 session
,Karnataka,"Bidar IMS, Bidar",DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Karnataka,"Gadag IMS, Gadag",DERMATOLOGY,2,5,3,Increase in Seats in 2025 session
,Karnataka,"Gulbarga IMS, Gulbarga",DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Karnataka,Kodagu Inst of Med Sciences,DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Karnataka,"Koppal Inst of MS, Koppal",DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Kerala,"TD Med Coll, Allepey",DERMATOLOGY,3,4,1,Increase in Seats in 2025 session
,Maharashtra,"Shri VR Naik Govt, Yavatmal",DERMATOLOGY,-,3,3,New seats added in 2025 Session
,Punjab,"Guru Govind Singh, Faridkot",DERMATOLOGY,3,5,2,Increase in Seats in 2025 session
,Rajasthan,"SNMC, Jodhpur",DERMATOLOGY,5,8,3,Increase in Seats in 2025 session
,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",DERMATOLOGY,-,4,4,New seats added in 2025 Session
,Telangana,"Govt Med Coll, Nizamabad",DERMATOLOGY,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"KGMU, Lucknow",DERMATOLOGY,-,4,4,New seats added in 2025 Session
,Uttarakhand,"Govt Med Coll, Haldwani",DERMATOLOGY,-,2,2,New seats added in 2025 Session
,Andhra Pradesh,"Andhra Med Coll, Vizag",EMERGENCY MEDICINE,-,4,4,New seats added in 2025 Session
,Gujarat,"BJMC, Ahmedabad",EMERGENCY MEDICINE,5,7,2,Increase in Seats in 2025 session
,Karnataka,"Chamrajanagar IMS, Karnataka",EMERGENCY MEDICINE,-,4,4,New seats added in 2025 Session
,Kerala,"Govt of Med Sci, Pariyaram",EMERGENCY MEDICINE,2,4,2,Increase in Seats in 2025 session
,Punjab,"Govt Med Coll, Amritsar",EMERGENCY MEDICINE,-,3,3,New seats added in 2025 Session
,Punjab,"Guru Govind Singh, Faridkot",EMERGENCY MEDICINE,-,2,2,New seats added in 2025 Session
,Rajasthan,"SNMC, Jodhpur",EMERGENCY MEDICINE,-,2,2,New seats added in 2025 Session
,Tamil Nadu,"Govt Med Coll, Pudukottai",EMERGENCY MEDICINE,-,4,4,New seats added in 2025 Session
,Telangana,"Government Med Coll, Ramagundam",EMERGENCY MEDICINE,-,4,4,New seats added in 2025 Session
,Uttar Pradesh,"SGPGI, Lucknow",EMERGENCY MEDICINE,2,6,4,Increase in Seats in 2025 session
,Punjab,"Guru Govind Singh, Faridkot",FAMILY MEDICINE,-,2,2,New seats added in 2025 Session
,Gujarat,"Govt Med Coll, Bhavnagar",FORENSIC MEDICINE,4,7,3,Increase in Seats in 2025 session
,Gujarat,"Medical College, Baroda",FORENSIC MEDICINE,2,5,3,Increase in Seats in 2025 session
,Jharkhand,"MGM Med Coll, Jamshedpur",FORENSIC MEDICINE,-,2,2,New seats added in 2025 Session
,Karnataka,"Chamrajanagar IMS, Karnataka",FORENSIC MEDICINE,-,4,4,New seats added in 2025 Session
