Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,2,AIQ,GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,0+4(VV),"₹30,000*","₹60,823",0*,₹0*,1030,1001(6),1393(6),1443(6),-,-,886(4),1065(4),1145(4),-,-,650(4),652(4),652(4)
,3,AIQ,GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,0+4(VV),"₹30,000*","₹60,823",0*,₹0*,1030,1001(6),1393(6),1443(6),-,-,886(4),1065(4),1145(4),-,-,650(4),652(4),652(4)
,1,AIQ,GEN,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,3,"₹11,000*","₹80,000",0*,₹0*,1200,628(4),628(4),628(4),-,-,254(2),254(2),254(2),-,-,664(3),664(3),664(3)
,2,AIQ,GEN,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,0+1(VV),"₹11,000*","₹80,000",0*,₹0*,1200,628(4),628(4),628(4),-,-,254(2),254(2),254(2),-,-,664(3),664(3),664(3)
,3,AIQ,GEN,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,0+1(VV),"₹11,000*","₹80,000",0*,₹0*,1200,628(4),628(4),628(4),-,-,254(2),254(2),254(2),-,-,664(3),664(3),664(3)
,1,AIQ,GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,6,"₹15,000*","₹67,032",1,"₹20,00,000",4800,633(5),923(5),1001(5),-,-,735(6),886(6),886(6),-,-,385(6),519(6),667(6)
,2,AIQ,GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,1+5(VV),"₹15,000*","₹67,032",1,"₹20,00,000",4800,633(5),923(5),1001(5),-,-,735(6),886(6),886(6),-,-,385(6),519(6),667(6)
,3,AIQ,GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,2+4(VV),"₹15,000*","₹67,032",1,"₹20,00,000",4800,633(5),923(5),1001(5),-,-,735(6),886(6),886(6),-,-,385(6),519(6),667(6)
,1,AIQ,GEN,Rajasthan,"RNT, Udaipur",DERMATOLOGY,2,"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206,1119(2),1304(2),1304(2),-,-,697(1),1208(1),1328(1),-,-,671(2),671(2),671(2)
,2,AIQ,GEN,Rajasthan,"RNT, Udaipur",DERMATOLOGY,0+1(VV),"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206,1119(2),1304(2),1304(2),-,-,697(1),1208(1),1328(1),-,-,671(2),671(2),671(2)
,3,AIQ,GEN,Rajasthan,"RNT, Udaipur",DERMATOLOGY,0+1(VV),"₹14,093*","₹87,216*",2,"₹1,50,00,000",2206,1119(2),1304(2),1304(2),-,-,697(1),1208(1),1328(1),-,-,671(2),671(2),671(2)
,1,AIQ,OBC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,3,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,946(3),1175(3),1175(3),-,-,450(3),450(3),450(3),-,-,631(3),674(3),674(3)
,2,AIQ,OBC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,1+2(VV),"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,946(3),1175(3),1175(3),-,-,450(3),450(3),450(3),-,-,631(3),674(3),674(3)
,3,AIQ,OBC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,0+2(VV),"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,946(3),1175(3),1175(3),-,-,450(3),450(3),450(3),-,-,631(3),674(3),674(3)
