Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,2,AIQ,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,2,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,926(3),916(3),916(3),-,-,920(3),1168(3),1168(3),-,-,904(3),979(3),979(3)
,3,AIQ,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,0+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,926(3),916(3),916(3),-,-,920(3),1168(3),1168(3),-,-,904(3),979(3),979(3)
,1,AIQ,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,2,"₹30,000*","₹60,823",0*,₹0*,1030,1297(2),1297(2),1297(2),-,-,1165(1),1399(1),1399(1),-,-,982(2),982(2),982(2)
,2,AIQ,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,0+2(VV),"₹30,000*","₹60,823",0*,₹0*,1030,1297(2),1297(2),1297(2),-,-,1165(1),1399(1),1399(1),-,-,982(2),982(2),982(2)
,3,AIQ,EWS,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,0+2(VV),"₹30,000*","₹60,823",0*,₹0*,1030,1297(2),1297(2),1297(2),-,-,1165(1),1399(1),1399(1),-,-,982(2),982(2),982(2)
,1,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,4,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,952(4),962(4),962(4),-,-,794(4),1272(4),1569(4),-,-,686(4),988(4),988(4)
,2,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,1+2(VV),"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,952(4),962(4),962(4),-,-,794(4),1272(4),1569(4),-,-,686(4),988(4),988(4)
,3,AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,0+2(VV),"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,952(4),962(4),962(4),-,-,794(4),1272(4),1569(4),-,-,686(4),988(4),988(4)
,1,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL SURGERY,4,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,977(3),1344(3),1403(3),-,-,823(1),900(1),900(1),-,-,732(4),989(4),989(4)
,2,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL SURGERY,2+2(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,977(3),1344(3),1403(3),-,-,823(1),900(1),900(1),-,-,732(4),989(4),989(4)
,3,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL SURGERY,0+4(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,977(3),1344(3),1403(3),-,-,823(1),900(1),900(1),-,-,732(4),989(4),989(4)
,1,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBGENERAL MEDICINE,2,"₹1,25,000","₹85,000*",0,₹0,550,2879(2),3268(2),3531(2),-,-,1483(2),2021(2),2021(2),-,-,963(2),993(2),993(2)
,2,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBGENERAL MEDICINE,0+2(VV),"₹1,25,000","₹85,000*",0,₹0,550,2879(2),3268(2),3531(2),-,-,1483(2),2021(2),2021(2),-,-,963(2),993(2),993(2)
,3,DNB Post MBBS,GEN,Maharashtra,"Kokilaben Dhirubhai Ambani,MUM",DNBGENERAL MEDICINE,0+1(VV),"₹1,25,000","₹85,000*",0,₹0,550,2879(2),3268(2),3531(2),-,-,1483(2),2021(2),2021(2),-,-,963(2),993(2),993(2)
,1,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,1,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,583(1),583(1),583(1),-,-,1398(1),1398(1),1398(1),-,-,721(1),721(1),994(1)
,2,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,583(1),583(1),583(1),-,-,1398(1),1398(1),1398(1),-,-,721(1),721(1),994(1)
,3,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,1,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,583(1),583(1),583(1),-,-,1398(1),1398(1),1398(1),-,-,721(1),721(1),994(1)
,1,AIQ,GEN,Kerala,"Govt of Med Sci, Pariyaram",GENERAL MEDICINE,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,823(1),1590(1),1590(1),-,-,784(1),1464(1),1788(1),-,-,740(1),839(1),996(1)
,2,AIQ,GEN,Kerala,"Govt of Med Sci, Pariyaram",GENERAL MEDICINE,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,823(1),1590(1),1590(1),-,-,784(1),1464(1),1788(1),-,-,740(1),839(1),996(1)
,3,AIQ,GEN,Kerala,"Govt of Med Sci, Pariyaram",GENERAL MEDICINE,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,823(1),1590(1),1590(1),-,-,784(1),1464(1),1788(1),-,-,740(1),839(1),996(1)
,1,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,7,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,515(7),831(7),983(7),-,-,522(6),537(6),861(6),-,-,538(7),997(7),997(7)
,2,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,1+5(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,515(7),831(7),983(7),-,-,522(6),537(6),861(6),-,-,538(7),997(7),997(7)
,3,AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,0+6(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,515(7),831(7),983(7),-,-,522(6),537(6),861(6),-,-,538(7),997(7),997(7)
,1,AIQ,OBC,Kerala,"Govt of Med Sci, Pariyaram",DERMATOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,1237(1),1734(1),2651(1),-,-,-,-,-,-,-,1003(1),1003(1),1003(1)
,2,AIQ,OBC,Kerala,"Govt of Med Sci, Pariyaram",DERMATOLOGY,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,1237(1),1734(1),2651(1),-,-,-,-,-,-,-,1003(1),1003(1),1003(1)
,3,AIQ,OBC,Kerala,"Govt of Med Sci, Pariyaram",DERMATOLOGY,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,1237(1),1734(1),2651(1),-,-,-,-,-,-,-,1003(1),1003(1),1003(1)
,1,AIQ,EWS,Uttar Pradesh,"JNMC (AMU), Aligarh",GENERAL MEDICINE,1,"₹54,700*","₹1,14,975*",0,₹0,1269,509(1),1394(1),1757(1),-,-,972(1),1154(1),1976(1),-,-,1012(1),1012(1),1012(1)
,2,AIQ,EWS,Uttar Pradesh,"JNMC (AMU), Aligarh",GENERAL MEDICINE,0+1(VV),"₹54,700*","₹1,14,975*",0,₹0,1269,509(1),1394(1),1757(1),-,-,972(1),1154(1),1976(1),-,-,1012(1),1012(1),1012(1)
,3,AIQ,EWS,Uttar Pradesh,"JNMC (AMU), Aligarh",GENERAL MEDICINE,0+1(VV),"₹54,700*","₹1,14,975*",0,₹0,1269,509(1),1394(1),1757(1),-,-,972(1),1154(1),1976(1),-,-,1012(1),1012(1),1012(1)
,1,AIQ,GEN,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIO DIAGNOSIS,3,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,1196(2),1640(2),1418(2),-,-,931(2),1093(2),1317(2),-,-,1013(3),1013(3),1013(3)
,2,AIQ,GEN,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIO DIAGNOSIS,0+3(VV),"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,1196(2),1640(2),1418(2),-,-,931(2),1093(2),1317(2),-,-,1013(3),1013(3),1013(3)
,3,AIQ,GEN,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIO DIAGNOSIS,0+3(VV),"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,1196(2),1640(2),1418(2),-,-,931(2),1093(2),1317(2),-,-,1013(3),1013(3),1013(3)
,1,AIQ,GEN,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,2,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518,285(1),285(1),285(1),-,-,369(2),369(2),369(2),-,-,606(2),1014(2),1014(2)
,2,AIQ,GEN,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,1+1(VV),"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518,285(1),285(1),285(1),-,-,369(2),369(2),369(2),-,-,606(2),1014(2),1014(2)
,1,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,6,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,255(2),502(4),554(4),-,-,476(6),727(6),1166(6),-,-,488(6),995(6),1015(6)
,2,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,1+5(VV),"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,255(2),502(4),554(4),-,-,476(6),727(6),1166(6),-,-,488(6),995(6),1015(6)
,3,AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,1+5(VV),"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,255(2),502(4),554(4),-,-,476(6),727(6),1166(6),-,-,488(6),995(6),1015(6)
,1,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,1,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518,360(1),360(1),360(1),-,-,511(1),636(1),540(1),-,-,635(1),1018(1),1018(1)
,2,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,1,"₹50,000*","₹54,025*",2*,"₹40,00,000*",3518,360(1),360(1),360(1),-,-,511(1),636(1),540(1),-,-,635(1),1018(1),1018(1)
,1,AIQ,GEN,Delhi,"MAMC, Delhi",OPHTHALMOLOGY,3,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,806(3),1123(3),1123(3),-,-,1789(4),2331(4),2832(4),3338(1),-,920(3),920(3),1023(3)
,2,AIQ,GEN,Delhi,"MAMC, Delhi",OPHTHALMOLOGY,1+2(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,806(3),1123(3),1123(3),-,-,1789(4),2331(4),2832(4),3338(1),-,920(3),920(3),1023(3)
,3,AIQ,GEN,Delhi,"MAMC, Delhi",OPHTHALMOLOGY,1+2(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,806(3),1123(3),1123(3),-,-,1789(4),2331(4),2832(4),3338(1),-,920(3),920(3),1023(3)
,1,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",DERMATOLOGY,1,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,-,-,-,-,-,789(2),1038(2),1755(2),-,-,549(1),549(1),1028(1)
,2,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",DERMATOLOGY,0+1(VV),"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,-,-,-,-,-,789(2),1038(2),1755(2),-,-,549(1),549(1),1028(1)
,3,AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",DERMATOLOGY,0+1(VV),"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,-,-,-,-,-,789(2),1038(2),1755(2),-,-,549(1),549(1),1028(1)
,1,AIQ,OBC,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,1,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available,1390(1),1825(1),2067(1),-,-,1584(1),1584(1),1584(1),-,-,1029(1),1029(1),1029(1)
,2,AIQ,OBC,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,0+1(VV),"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available,1390(1),1825(1),2067(1),-,-,1584(1),1584(1),1584(1),-,-,1029(1),1029(1),1029(1)
,3,AIQ,OBC,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,0+1(VV),"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available,1390(1),1825(1),2067(1),-,-,1584(1),1584(1),1584(1),-,-,1029(1),1029(1),1029(1)
,1,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,3,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,547(2),648(2),648(2),-,-,1172(3),1172(3),1172(3),-,-,1042(3),1042(3),1042(3)
,2,AIQ,SC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,0+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,547(2),648(2),648(2),-,-,1172(3),1172(3),1172(3),-,-,1042(3),1042(3),1042(3)
