Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,1,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL MEDICINE,5,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,93(4),93(4),93(4),-,-,83(6),93(6),93(6),-,-,74(5),74(5),119(5)
,2,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL MEDICINE,0+4(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,93(4),93(4),93(4),-,-,83(6),93(6),93(6),-,-,74(5),74(5),119(5)
,3,AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL MEDICINE,0+4(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,93(4),93(4),93(4),-,-,83(6),93(6),93(6),-,-,74(5),74(5),119(5)
,1,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL SURGERY,2,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,199(3),199(3),332(3),-,-,315(3),315(3),857(3),-,-,123(2),123(2),123(2)
,2,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL SURGERY,0+1(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,199(3),199(3),332(3),-,-,315(3),315(3),857(3),-,-,123(2),123(2),123(2)
,3,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL SURGERY,0+1(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,199(3),199(3),332(3),-,-,315(3),315(3),857(3),-,-,123(2),123(2),123(2)
,1,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,3,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,94(4),120(4),120(4),-,-,106(4),106(4),106(4),-,-,119(3),119(3),125(3)
,2,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,94(4),120(4),120(4),-,-,106(4),106(4),106(4),-,-,119(3),119(3),125(3)
,3,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,94(4),120(4),120(4),-,-,106(4),106(4),106(4),-,-,119(3),119(3),125(3)
,1,AIQ,EWS,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,476(1),476(1),476(1),-,-,-,-,-,-,-,127(1),127(1),127(1)
,1,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,3,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,138(5),138(5),138(5),-,-,148(4),643(4),642(4),-,-,129(3),129(3),129(3)
,2,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,138(5),138(5),138(5),-,-,148(4),643(4),642(4),-,-,129(3),129(3),129(3)
,3,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,138(5),138(5),138(5),-,-,148(4),643(4),642(4),-,-,129(3),129(3),129(3)
,1,DU,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,4,"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,162(3),162(3),162(3),-,-,165(4),165(4),126(4),-,-,141(4),141(4),141(4)
,2,DU,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,0+3(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,162(3),162(3),162(3),-,-,165(4),165(4),126(4),-,-,141(4),141(4),141(4)
,3,DU,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,0+3(VV),"₹16,200*","₹1,32,336*",1,"₹20,00,000",2800,162(3),162(3),162(3),-,-,165(4),165(4),126(4),-,-,141(4),141(4),141(4)
,1,AIQ,GEN,Delhi,"VMMC, Delhi",DERMATOLOGY,2,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,108(1),108(1),108(1),-,-,142(2),142(2),142(2)
,2,AIQ,GEN,Delhi,"VMMC, Delhi",DERMATOLOGY,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,108(1),108(1),108(1),-,-,142(2),142(2),142(2)
,3,AIQ,GEN,Delhi,"VMMC, Delhi",DERMATOLOGY,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,108(1),108(1),108(1),-,-,142(2),142(2),142(2)
,1,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,2,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,314(2),324(2),324(2),-,-,183(1),183(1),183(1),-,-,133(2),143(2),143(2)
,2,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,314(2),324(2),324(2),-,-,183(1),183(1),183(1),-,-,133(2),143(2),143(2)
,3,AIQ,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,0+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,314(2),324(2),324(2),-,-,183(1),183(1),183(1),-,-,133(2),143(2),143(2)
,1,AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,1,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,415(1),415(1),415(1),-,-,491(1),1085(1),1045(1),-,-,597(1),695(1),150(1)
,2,AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,0+1(VV),"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,415(1),415(1),415(1),-,-,491(1),1085(1),1045(1),-,-,597(1),695(1),150(1)
,3,AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,1,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,415(1),415(1),415(1),-,-,491(1),1085(1),1045(1),-,-,597(1),695(1),150(1)
,1,AIQ,SC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,1,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,240(1),240(1),240(1),-,-,1950(1),1950(1),1950(1),-,-,157(1),157(1),157(1)
,2,AIQ,SC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,0+1(VV),"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,240(1),240(1),240(1),-,-,1950(1),1950(1),1950(1),-,-,157(1),157(1),157(1)
,3,AIQ,SC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,0+1(VV),"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,240(1),240(1),240(1),-,-,1950(1),1950(1),1950(1),-,-,157(1),157(1),157(1)
,1,AIQ,GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,1,"₹34,500*","₹1,09,926*",0,₹0,967,259(1),259(1),259(1),-,-,216(1),216(1),216(1),-,-,107(1),161(1),161(1)
,2,AIQ,GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,259(1),259(1),259(1),-,-,216(1),216(1),216(1),-,-,107(1),161(1),161(1)
,3,AIQ,GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,259(1),259(1),259(1),-,-,216(1),216(1),216(1),-,-,107(1),161(1),161(1)
,1,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,1,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,-,-,-,-,-,205(1),205(1),205(1),-,-,163(1),163(1),163(1)
,2,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,-,-,-,-,-,205(1),205(1),205(1),-,-,163(1),163(1),163(1)
,3,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,-,-,-,-,-,205(1),205(1),205(1),-,-,163(1),163(1),163(1)
,1,AIQ,OBC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,2,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,362(2),362(2),362(2),-,-,419(2),419(2),453(2),-,-,151(2),151(2),174(3)
,3,AIQ,OBC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,1,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,362(2),362(2),362(2),-,-,419(2),419(2),453(2),-,-,151(2),151(2),174(3)
,1,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,2,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,269(2),269(2),269(2),-,-,173(3),173(3),173(3),-,-,178(2),178(2),178(2)
,2,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+2(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,269(2),269(2),269(2),-,-,173(3),173(3),173(3),-,-,178(2),178(2),178(2)
,3,AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+2(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,269(2),269(2),269(2),-,-,173(3),173(3),173(3),-,-,178(2),178(2),178(2)
,1,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,2,"₹48,226*","₹1,12,054*",0,₹0,2424,159(2),159(2),159(2),-,-,102(1),102(1),102(1),-,-,179(2),179(2),179(2)
,2,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,1+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,159(2),159(2),159(2),-,-,102(1),102(1),102(1),-,-,179(2),179(2),179(2)
,3,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,1+1(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,159(2),159(2),159(2),-,-,102(1),102(1),102(1),-,-,179(2),179(2),179(2)
,1,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,5,"₹48,226*","₹1,12,054*",0,₹0,2424,160(4),195(4),195(4),-,-,178(3),260(3),260(3),-,-,176(5),176(5),181(5)
,2,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,0+5(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,160(4),195(4),195(4),-,-,178(3),260(3),260(3),-,-,176(5),176(5),181(5)
,3,AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,0+5(VV),"₹48,226*","₹1,12,054*",0,₹0,2424,160(4),195(4),195(4),-,-,178(3),260(3),260(3),-,-,176(5),176(5),181(5)
,1,AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,3,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,219(4),280(4),280(4),-,-,130(3),134(3),134(3),-,-,145(3),187(3),187(3)
,2,AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,1+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,219(4),280(4),280(4),-,-,130(3),134(3),134(3),-,-,145(3),187(3),187(3)
,3,AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,0+3(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,219(4),280(4),280(4),-,-,130(3),134(3),134(3),-,-,145(3),187(3),187(3)
,1,AIQ,OBC,Kerala,"Govt Med Coll, Thrissur",RADIO DIAGNOSIS,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,505(1),851(1),686(1),-,-,494(1),600(1),600(1),-,-,189(1),189(1),189(1)
,2,AIQ,OBC,Kerala,"Govt Med Coll, Thrissur",RADIO DIAGNOSIS,0+1(VV),"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,505(1),851(1),686(1),-,-,494(1),600(1),600(1),-,-,189(1),189(1),189(1)
