Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,1,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,177(1),177(1),177(1),-,-,696(2),924(2),924(2),-,-,20(1),20(1),20(1)
,1,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,7,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-,15(7),15(7),30(7)
,2,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,1+1(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-,15(7),15(7),30(7)
,3,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,2+2(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-,15(7),15(7),30(7)
,1,AIQ,GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,1,"₹34,500*","₹1,09,926*",0,₹0,967,206(2),206(2),206(2),-,-,119(2),119(2),119(2),-,-,39(1),39(1),39(1)
,2,AIQ,GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,206(2),206(2),206(2),-,-,119(2),119(2),119(2),-,-,39(1),39(1),39(1)
,3,AIQ,GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,0+1(VV),"₹34,500*","₹1,09,926*",0,₹0,967,206(2),206(2),206(2),-,-,119(2),119(2),119(2),-,-,39(1),39(1),39(1)
,1,AIQ,EWS,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,1,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,27(1),137(1),137(1),-,-,139(1),139(1),139(1),-,-,41(1),41(1),41(1)
,1,AIQ,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,5,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,13(4),13(4),13(4),-,-,25(5),25(5),25(5),-,-,25(5),46(5),46(5)
,2,AIQ,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,1,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,13(4),13(4),13(4),-,-,25(5),25(5),25(5),-,-,25(5),46(5),46(5)
