Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,3,AIQ,OBC,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,374(1),374(1),374(1),-,-,212(1),212(1),212(1),-,-,283(1),283(1),283(1)
,1,AIQ,OBC,Delhi,"VMMC, Delhi",DERMATOLOGY,1,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,517(1),517(1),517(1),-,-,293(1),293(1),293(1)
,2,AIQ,OBC,Delhi,"VMMC, Delhi",DERMATOLOGY,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,517(1),517(1),517(1),-,-,293(1),293(1),293(1)
,3,AIQ,OBC,Delhi,"VMMC, Delhi",DERMATOLOGY,0+1(VV),"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,-,-,-,-,-,517(1),517(1),517(1),-,-,293(1),293(1),293(1)
,1,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,4,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,173(4),283(4),283(4),-,-,127(3),127(3),127(3),-,-,125(4),125(4),295(4)
,2,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,173(4),283(4),283(4),-,-,127(3),127(3),127(3),-,-,125(4),125(4),295(4)
,3,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,173(4),283(4),283(4),-,-,127(3),127(3),127(3),-,-,125(4),125(4),295(4)
,1,DU,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,5,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,453(4),453(4),453(4),-,-,356(5),383(5),383(5),-,-,296(5),296(5),296(5)
,2,DU,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,0+4(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,453(4),453(4),453(4),-,-,356(5),383(5),383(5),-,-,296(5),296(5),296(5)
,3,DU,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,0+4(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,453(4),453(4),453(4),-,-,356(5),383(5),383(5),-,-,296(5),296(5),296(5)
,1,AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,1,"₹16,300*","₹1,25,000*",0,₹0,594,508(1),524(1),732(1),-,-,447(1),447(1),469(1),-,-,297(1),326(1),297(1)
,2,AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,1,"₹16,300*","₹1,25,000*",0,₹0,594,508(1),524(1),732(1),-,-,447(1),447(1),469(1),-,-,297(1),326(1),297(1)
,3,AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,1,"₹16,300*","₹1,25,000*",0,₹0,594,508(1),524(1),732(1),-,-,447(1),447(1),469(1),-,-,297(1),326(1),297(1)
,1,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,3,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,132(2),185(2),185(2),-,-,89(3),189(3),242(3),-,-,209(3),329(3),306(3)
,2,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,1+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,132(2),185(2),185(2),-,-,89(3),189(3),242(3),-,-,209(3),329(3),306(3)
,3,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,0+3(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,132(2),185(2),185(2),-,-,89(3),189(3),242(3),-,-,209(3),329(3),306(3)
,1,AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,4,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,229(3),229(3),229(3),-,-,50(2),50(2),73(2),-,-,156(4),307(4),307(4)
