Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2,CR 2025 3,
,1,DU,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,1,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,500(2),500(2),500(2),-,-,111(1),111(1),163(1),-,-,491(1),491(1),491(1)
,2,DU,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,500(2),500(2),500(2),-,-,111(1),111(1),163(1),-,-,491(1),491(1),491(1)
,3,DU,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,500(2),500(2),500(2),-,-,111(1),111(1),163(1),-,-,491(1),491(1),491(1)
,1,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,1,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,-,-,-,-,-,492(1),492(1),492(1)
,2,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,-,-,-,-,-,492(1),492(1),492(1)
,3,AIQ,EWS,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,0+1(VV),"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,-,-,-,-,-,-,-,-,-,-,492(1),492(1),492(1)
,1,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,5,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,428(4),332(4),587(4),-,-,479(3),823(3),823(3),-,-,419(5),456(5),494(5)
,2,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,1+2(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,428(4),332(4),587(4),-,-,479(3),823(3),823(3),-,-,419(5),456(5),494(5)
,3,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,0+3(VV),"₹51,000","₹1,36,008",1,"₹20,00,000",1626,428(4),332(4),587(4),-,-,479(3),823(3),823(3),-,-,419(5),456(5),494(5)
,1,AIQ,GEN,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,3,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614,1788(3),1675(3),3343(3),-,-,1301(3),1405(3),1405(3),-,-,386(3),568(5),500(5)
,2,AIQ,GEN,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,2,"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614,1788(3),1675(3),3343(3),-,-,1301(3),1405(3),1405(3),-,-,386(3),568(5),500(5)
,3,AIQ,GEN,Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,0+1(VV),"₹1,05,500*","₹1,05,840",1*,"₹25,00,000*",614,1788(3),1675(3),3343(3),-,-,1301(3),1405(3),1405(3),-,-,386(3),568(5),500(5)
,1,AIQ,GEN,Maharashtra,"BJMC, Pune",DERMATOLOGY,2,"₹1,57,100*","₹93,559",1,"₹50,00,000",1296,33(1),33(1),33(1),-,-,814(2),1025(2),1025(2),-,-,387(2),506(2),506(2)
,2,AIQ,GEN,Maharashtra,"BJMC, Pune",DERMATOLOGY,1+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1296,33(1),33(1),33(1),-,-,814(2),1025(2),1025(2),-,-,387(2),506(2),506(2)
,3,AIQ,GEN,Maharashtra,"BJMC, Pune",DERMATOLOGY,0+2(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",1296,33(1),33(1),33(1),-,-,814(2),1025(2),1025(2),-,-,387(2),506(2),506(2)
,1,AIQ,EWS,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,1,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,-,-,-,-,-,-,-,-,-,-,211(1),509(1),509(1)
,2,AIQ,EWS,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,1,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,-,-,-,-,-,-,-,-,-,-,211(1),509(1),509(1)
,3,AIQ,EWS,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,0+1(VV),"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,-,-,-,-,-,-,-,-,-,-,211(1),509(1),509(1)
,1,AIQ,GEN,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,2,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,1389(2),1389(2),1389(2),-,-,1298(2),2026(2),2026(2),-,-,526(2),526(2),526(2)
,2,AIQ,GEN,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,0+1(VV),"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,1389(2),1389(2),1389(2),-,-,1298(2),2026(2),2026(2),-,-,526(2),526(2),526(2)
